channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
PO7,sub-007,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5536922683198265,0.54,0.5366372223687267,0.5726890244962535,,0.31000000000000005,True,
PO7,sub-008,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5913561205366769,0.51,0.4966981728112931,0.5005733940684246,,0.265,True,
PO7,sub-009,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5371252550912414,0.45,0.4446530089008594,0.4469754844086395,,0.17500000000000004,True,
PO7,sub-010,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5411966267061512,0.5719063545150501,0.570474203718188,0.597980062494913,,0.35757209520931954,True,
PO7,sub-011,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5602438081977215,0.3566666666666667,0.35418272473466095,0.3562905099097074,,0.03500000000000003,True,
PO8,sub-001,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.5455039379050857,0.5066666666666667,0.5076360225140714,0.5090476190476191,,0.26,True,
PO8,sub-002,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.5147006511399458,0.7366666666666667,0.7398707724428552,0.7621174147489937,,0.605,True,
PO8,sub-003,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5750708750708751,0.49666666666666665,0.4946530380055288,0.5053138320854856,,0.245,True,
PO8,sub-004,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5345841893955102,0.6266666666666667,0.614328155504626,0.625376786063809,,0.43999999999999995,True,
PO8,sub-005,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.5336780087060761,0.45666666666666667,0.43791721761429664,0.5188991817802794,,0.18500000000000005,True,
PO8,sub-006,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5838548346574726,0.38666666666666666,0.3743390088928944,0.39968977556823776,,0.07999999999999996,True,
PO8,sub-007,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5589197900769841,0.3933333333333333,0.3662788191189823,0.388667064761752,,0.08999999999999997,True,
