evaluation_setting,manuscript_table,dataset,subject,primary,baseline,primary_accuracy,baseline_accuracy,difference_primary_minus_baseline,calibration_trial_ids_sha256,test_trial_ids_sha256
strict_svm,Tables II-III,dreyer,B69,SingLEM,MIRepNet,0.7125,0.925,-0.2125,,
strict_svm,Tables II-III,dreyer,B70,SingLEM,MIRepNet,0.75625,0.575,0.18125,,
strict_svm,Tables II-III,dreyer,B71,SingLEM,MIRepNet,0.75,0.55,0.2,,
strict_svm,Tables II-III,dreyer,B72,SingLEM,MIRepNet,0.83125,0.56875,0.2625,,
strict_svm,Tables II-III,dreyer,B73,SingLEM,MIRepNet,0.70625,0.91875,-0.2125,,
strict_svm,Tables II-III,dreyer,B74,SingLEM,MIRepNet,0.63125,0.83125,-0.2,,
strict_svm,Tables II-III,dreyer,B75,SingLEM,MIRepNet,0.7375,0.7125,0.025,,
strict_svm,Tables II-III,dreyer,B76,SingLEM,MIRepNet,0.775,0.9375,-0.1625,,
strict_svm,Tables II-III,dreyer,B77,SingLEM,MIRepNet,0.7375,0.4625,0.275,,
strict_svm,Tables II-III,dreyer,B78,SingLEM,MIRepNet,0.58125,0.83125,-0.25,,
strict_svm,Tables II-III,dreyer,B79,SingLEM,MIRepNet,0.86875,0.95625,-0.0875,,
strict_svm,Tables II-III,dreyer,B80,SingLEM,MIRepNet,0.66875,0.5875,0.08125,,
strict_svm,Tables II-III,dreyer,B81,SingLEM,MIRepNet,0.81875,0.68125,0.1375,,
strict_svm,Tables II-III,dreyer,B61,SingLEM,CSP,0.86875,0.70625,0.1625,,
strict_svm,Tables II-III,dreyer,B62,SingLEM,CSP,0.65625,0.73125,-0.075,,
strict_svm,Tables II-III,dreyer,B63,SingLEM,CSP,0.7,0.5625,0.1375,,
strict_svm,Tables II-III,dreyer,B64,SingLEM,CSP,0.75,0.4625,0.2875,,
strict_svm,Tables II-III,dreyer,B65,SingLEM,CSP,0.79375,0.825,-0.03125,,
strict_svm,Tables II-III,dreyer,B66,SingLEM,CSP,0.78125,0.5375,0.24375,,
strict_svm,Tables II-III,dreyer,B67,SingLEM,CSP,0.88125,0.5,0.38125,,
strict_svm,Tables II-III,dreyer,B68,SingLEM,CSP,0.65625,0.48125,0.175,,
strict_svm,Tables II-III,dreyer,B69,SingLEM,CSP,0.7125,0.675,0.0375,,
strict_svm,Tables II-III,dreyer,B70,SingLEM,CSP,0.75625,0.55,0.20625,,
strict_svm,Tables II-III,dreyer,B71,SingLEM,CSP,0.75,0.4875,0.2625,,
strict_svm,Tables II-III,dreyer,B72,SingLEM,CSP,0.83125,0.50625,0.325,,
strict_svm,Tables II-III,dreyer,B73,SingLEM,CSP,0.70625,0.95625,-0.25,,
strict_svm,Tables II-III,dreyer,B74,SingLEM,CSP,0.63125,0.66875,-0.0375,,
strict_svm,Tables II-III,dreyer,B75,SingLEM,CSP,0.7375,0.7125,0.025,,
strict_svm,Tables II-III,dreyer,B76,SingLEM,CSP,0.775,0.75625,0.01875,,
strict_svm,Tables II-III,dreyer,B77,SingLEM,CSP,0.7375,0.4875,0.25,,
strict_svm,Tables II-III,dreyer,B78,SingLEM,CSP,0.58125,0.66875,-0.0875,,
strict_svm,Tables II-III,dreyer,B79,SingLEM,CSP,0.86875,0.83125,0.0375,,
strict_svm,Tables II-III,dreyer,B80,SingLEM,CSP,0.66875,0.44375,0.225,,
strict_svm,Tables II-III,dreyer,B81,SingLEM,CSP,0.81875,0.5875,0.23125,,
strict_svm,Tables II-III,dreyer,B61,SingLEM,Welch PSD,0.86875,0.625,0.24375,,
strict_svm,Tables II-III,dreyer,B62,SingLEM,Welch PSD,0.65625,0.6375,0.01875,,
strict_svm,Tables II-III,dreyer,B63,SingLEM,Welch PSD,0.7,0.54375,0.15625,,
strict_svm,Tables II-III,dreyer,B64,SingLEM,Welch PSD,0.75,0.50625,0.24375,,
strict_svm,Tables II-III,dreyer,B65,SingLEM,Welch PSD,0.79375,0.75,0.04375,,
strict_svm,Tables II-III,dreyer,B66,SingLEM,Welch PSD,0.78125,0.575,0.20625,,
strict_svm,Tables II-III,dreyer,B67,SingLEM,Welch PSD,0.88125,0.475,0.40625,,
strict_svm,Tables II-III,dreyer,B68,SingLEM,Welch PSD,0.65625,0.575,0.08125,,
strict_svm,Tables II-III,dreyer,B69,SingLEM,Welch PSD,0.7125,0.625,0.0875,,
strict_svm,Tables II-III,dreyer,B70,SingLEM,Welch PSD,0.75625,0.55,0.20625,,
strict_svm,Tables II-III,dreyer,B71,SingLEM,Welch PSD,0.75,0.5,0.25,,
strict_svm,Tables II-III,dreyer,B72,SingLEM,Welch PSD,0.83125,0.48125,0.35,,
strict_svm,Tables II-III,dreyer,B73,SingLEM,Welch PSD,0.70625,0.51875,0.1875,,
strict_svm,Tables II-III,dreyer,B74,SingLEM,Welch PSD,0.63125,0.48125,0.15,,
strict_svm,Tables II-III,dreyer,B75,SingLEM,Welch PSD,0.7375,0.5125,0.225,,
strict_svm,Tables II-III,dreyer,B76,SingLEM,Welch PSD,0.775,0.5125,0.2625,,
strict_svm,Tables II-III,dreyer,B77,SingLEM,Welch PSD,0.7375,0.5875,0.15,,
strict_svm,Tables II-III,dreyer,B78,SingLEM,Welch PSD,0.58125,0.625,-0.04375,,
strict_svm,Tables II-III,dreyer,B79,SingLEM,Welch PSD,0.86875,0.675,0.19375,,
strict_svm,Tables II-III,dreyer,B80,SingLEM,Welch PSD,0.66875,0.5125,0.15625,,
strict_svm,Tables II-III,dreyer,B81,SingLEM,Welch PSD,0.81875,0.4875,0.33125,,
strict_svm,Tables II-III,wbcic_3c,sub-001,SingLEM,BENDR,0.71,0.32666666666666666,0.383333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-002,SingLEM,BENDR,0.87,0.36,0.51,,
strict_svm,Tables II-III,wbcic_3c,sub-003,SingLEM,BENDR,0.69,0.35333333333333333,0.336666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-004,SingLEM,BENDR,0.71,0.37,0.34,,
strict_svm,Tables II-III,wbcic_3c,sub-005,SingLEM,BENDR,0.6533333333333333,0.3233333333333333,0.33,,
strict_svm,Tables II-III,wbcic_3c,sub-006,SingLEM,BENDR,0.5633333333333334,0.38333333333333336,0.18,,
strict_svm,Tables II-III,wbcic_3c,sub-007,SingLEM,BENDR,0.7866666666666666,0.37666666666666665,0.41,,
strict_svm,Tables II-III,wbcic_3c,sub-008,SingLEM,BENDR,0.6833333333333333,0.38333333333333336,0.3,,
strict_svm,Tables II-III,wbcic_3c,sub-009,SingLEM,BENDR,0.78,0.3433333333333333,0.436666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-010,SingLEM,BENDR,0.6755852842809364,0.38127090301003347,0.294314381271,,
strict_svm,Tables II-III,wbcic_3c,sub-011,SingLEM,BENDR,0.37333333333333335,0.30333333333333334,0.07,,
strict_svm,Tables II-III,wbcic_3c,sub-001,SingLEM,BIOT,0.71,0.32,0.39,,
strict_svm,Tables II-III,wbcic_3c,sub-002,SingLEM,BIOT,0.87,0.3566666666666667,0.513333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-003,SingLEM,BIOT,0.69,0.30666666666666664,0.383333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-004,SingLEM,BIOT,0.71,0.42333333333333334,0.286666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-005,SingLEM,BIOT,0.6533333333333333,0.35333333333333333,0.3,,
strict_svm,Tables II-III,wbcic_3c,sub-006,SingLEM,BIOT,0.5633333333333334,0.36666666666666664,0.196666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-007,SingLEM,BIOT,0.7866666666666666,0.38333333333333336,0.403333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-008,SingLEM,BIOT,0.6833333333333333,0.4066666666666667,0.276666666667,,
