T7	VP023_B	acc=0.7361	f1=0.7357	precision=0.7378	kappa=0.4722	inner_f1=0.7666
T7	VP024_B	acc=0.6944	f1=0.6884	precision=0.7107	kappa=0.3889	inner_f1=0.7750
T7	VP025_B	acc=0.9583	f1=0.9583	precision=0.9615	kappa=0.9167	inner_f1=0.8027
T7	VP026_B	acc=0.7222	f1=0.7220	precision=0.7229	kappa=0.4444	inner_f1=0.7664
C3	VP001_B	acc=0.6944	f1=0.6884	precision=0.7107	kappa=0.3889	inner_f1=0.8083
C3	VP002_B	acc=0.6111	f1=0.5852	precision=0.6481	kappa=0.2222	inner_f1=0.7692
C3	VP003_B	acc=0.7778	f1=0.7778	precision=0.7778	kappa=0.5556	inner_f1=0.8083
C3	VP004_B	acc=0.7778	f1=0.7778	precision=0.7778	kappa=0.5556	inner_f1=0.7861
C3	VP005_B	acc=0.7361	f1=0.7361	precision=0.7363	kappa=0.4722	inner_f1=0.7911
C3	VP006_B	acc=0.6667	f1=0.6667	precision=0.6667	kappa=0.3333	inner_f1=0.8028
C3	VP007_B	acc=0.7500	f1=0.7402	precision=0.7945	kappa=0.5000	inner_f1=0.8082
C3	VP008_B	acc=0.8472	f1=0.8470	precision=0.8497	kappa=0.6944	inner_f1=0.7944
C3	VP009_B	acc=0.8194	f1=0.8186	precision=0.8257	kappa=0.6389	inner_f1=0.8250
C3	VP010_B	acc=0.8472	f1=0.8465	precision=0.8541	kappa=0.6944	inner_f1=0.7583
C3	VP011_B	acc=0.5833	f1=0.5404	precision=0.6330	kappa=0.1667	inner_f1=0.8052
C3	VP012_B	acc=0.9306	f1=0.9302	precision=0.9390	kappa=0.8611	inner_f1=0.7944
C3	VP013_B	acc=0.7917	f1=0.7913	precision=0.7937	kappa=0.5833	inner_f1=0.7744
C3	VP014_B	acc=0.9028	f1=0.9023	precision=0.9107	kappa=0.8056	inner_f1=0.7861
C3	VP015_B	acc=0.8611	f1=0.8601	precision=0.8714	kappa=0.7222	inner_f1=0.7805
C3	VP016_B	acc=0.8333	f1=0.8322	precision=0.8429	kappa=0.6667	inner_f1=0.7818
C3	VP017_B	acc=0.5556	f1=0.5542	precision=0.5563	kappa=0.1111	inner_f1=0.7833
C3	VP018_B	acc=0.6389	f1=0.6087	precision=0.7009	kappa=0.2778	inner_f1=0.7714
C3	VP019_B	acc=0.7778	f1=0.7776	precision=0.7786	kappa=0.5556	inner_f1=0.8027
C3	VP020_B	acc=0.8750	f1=0.8744	precision=0.8824	kappa=0.7500	inner_f1=0.7720
C3	VP021_B	acc=0.9167	f1=0.9166	precision=0.9180	kappa=0.8333	inner_f1=0.7944
C3	VP022_B	acc=0.7222	f1=0.7220	precision=0.7229	kappa=0.4444	inner_f1=0.8361
